Número,Título,Temas Relacionados,Textos Relacionados,Link do Vídeo,Texto Base,Categoria,Subcategoria,Autor da Letra,Autor da Música
145,É Jesus o Salvador,Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Missão e Serviço | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 19:14; Provérbios 22:6 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=BAVvAtp5I7M,"Lucas 2:10, 11",A Doutrina da Salvação,A Experiência da Salvação,Priscilla J. Owens,William J. Kirkpatrick
146,Eu Não Sou Mais Eu,Adoração e Louvor | Graça e Salvação | Lar e Família,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=Cp1MchLAT4Q,Gálatas 2:20,A Doutrina da Salvação,A Experiência da Salvação,Jader D. Santos,Jader D. Santos
147,Jesus me Transformou,"Graça e Salvação | Oração e Comunhão | Palavra de Deus e Lei | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=Lw5boxvR22k,Salmo 40:1-3,A Doutrina da Salvação,A Experiência da Salvação,James Rowe,Howard E. Smith
148,Jesus Achou-me,"Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=gmYPdCt9IlM,Salmo 40:1-3,A Doutrina da Salvação,A Experiência da Salvação,Lelia N. Morris,Lelia N. Morris
149,Pedras,"Crianças e Jovens | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=yi08qQYUizE,"1 Pedro 2:4, 5",A Doutrina da Salvação,A Experiência da Salvação,Williams Costa Jr.,Williams Costa Jr.
150,"Ó Jesus, Habita em mim","Graça e Salvação | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=H6uJzMKrSF8,Efésios 3:17-19,A Doutrina da Salvação,A Experiência da Salvação,Guilherme Luiz dos Santos Ferreira,Ira D. Sankey
151,Amor Glorioso,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=J-LrXdce3BQ,Jeremias 31:3,A Doutrina da Salvação,A Experiência da Salvação,W. Spencer Walton,Adoniram Judson Gordon
152,A Voz de Jesus,"Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=PugB4piaHHo,Apocalipse 3:20,A Doutrina da Salvação,A Experiência da Salvação,Jonas Monteiro de Souza,Jonas Monteiro de Souza
153,O Que Penso de Meu Mestre,"Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=Qc_6UoL0Y2g,Romanos 5:8-11,A Doutrina da Salvação,A Experiência da Salvação,Charles F. Weigle,Charles F. Weigle
154,Alvo Mais que a Neve,"Graça e Salvação | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=E1wkziOywHE,Isaías 1:18,A Doutrina da Salvação,A Experiência da Salvação,Eden Reeder Latta,Henry Southwick Perkins
155,Meu Cálice Transborda,"Crianças e Jovens | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=RZ7z3wlZ6w0,Salmo 23:5,A Doutrina da Salvação,A Experiência da Salvação,Richard Blanchard,Richard Blanchard
156,Remido,"Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=Tse3sRoZjUY,"1 Pedro 1:18, 19",A Doutrina da Salvação,A Experiência da Salvação,Fanny J. Crosby,Aubrey Lee Butler
157,Jesus me Remiu,"Adoração e Louvor | Graça e Salvação | Palavra de Deus e Lei | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=xf46ZtpsWFU,Romanos 5:8-11,A Doutrina da Salvação,A Experiência da Salvação,Fanny J. Crosby,William J. Kirkpatrick
158,Creio em Milagres,"Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Sábado e Criação",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=3bsZ_hMpaG8,"Romanos 1:16, 17",A Doutrina da Salvação,A Experiência da Salvação,Carlton C. Buck,John W. Peterson
159,Um Novo Nome Lá na Glória,"Adoração e Louvor | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=OZHToenZk6k,Apocalipse 2:17,A Doutrina da Salvação,A Experiência da Salvação,C. Austin Miles,C. Austin Miles
160,Crescendo em Graça,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=UFgPVxywUzk,2 Pedro 3:18,A Doutrina da Salvação,A Experiência da Salvação,Jader D. Santos,Jader D. Santos
161,Salva-me Também,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=d2TGxq6cUdc,Mateus 15:21-28,A Doutrina da Salvação,A Experiência da Salvação,Cleland B. McAfee,Julie Katharina von Hausmann
162,Sou de Jesus,"Graça e Salvação | Missão e Serviço | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=lNnC4Lj998s,Apocalipse 14:4,A Doutrina da Salvação,A Experiência da Salvação,"Kátia Rocha, Társis Iraídes","Kátia Rocha, Társis Iraídes"
163,Para o Céu Por Jesus Irei,Lar e Família | Sacrifício e Redenção,Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=_G5qqB7zbx4,João 14:6,A Doutrina da Salvação,A Experiência da Salvação,Jessie B. Pounds,Charles H. Gabriel
164,Meu Nome em Suas Mãos,Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22,https://www.youtube.com/watch?v=6_dlUP46mEQ,"Isaías 49:15, 16",A Doutrina da Salvação,A Experiência da Salvação,Marjorie Lewis Lloyd,Marjorie Lewis Lloyd
165,Hoje sou Feliz,Graça e Salvação | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22,https://www.youtube.com/watch?v=X4VP_cLQCSY,Salmo 40:1-3,A Doutrina da Salvação,A Experiência da Salvação,Desconhecido,Desconhecido
166,Caminhando,"Lar e Família | Paz, Cuidado e Confiança",Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=h7uQpNUh9Cw,Isaías 40:31,A Doutrina da Salvação,A Experiência da Salvação,Johnson Oatman Jr.,Hamp Haygood Sewell
167,Mui Triste Eu Andava,Graça e Salvação | Lar e Família,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=ajWDH9CUcXU,"Colossenses 2:6, 7",A Doutrina da Salvação,A Experiência da Salvação,James Rowe,Bentley D. Ackley
168,Eu Achei,Graça e Salvação | Oração e Comunhão | Sacrifício e Redenção | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22,https://www.youtube.com/watch?v=tsPbzFTxyD8,João 1:41,A Doutrina da Salvação,A Experiência da Salvação,Kurt F. Kaiser,Kurt F. Kaiser
169,Salvo em Jesus,"Adoração e Louvor | Graça e Salvação | Igreja e Comunhão | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=Dyd6mAe1LoI,1 João 5:11-13,A Doutrina da Salvação,A Experiência da Salvação,Fanny J. Crosby,William H. Doane
170,"Oh, Que Belo Hino Deus me Deu!",Adoração e Louvor | Graça e Salvação | Lar e Família | Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=ZdBnuWtqR0c,Salmo 40:3,A Doutrina da Salvação,A Experiência da Salvação,Elton M. Roth,Elton M. Roth
171,Com Cristo no Meu Coração,Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22,https://www.youtube.com/watch?v=OvOiXTDTiIk,"Efésios 2:12, 13",A Doutrina da Salvação,A Experiência da Salvação,Rufus H. McDaniel,Charles H. Gabriel
172,Ando Sempre Alegre,Graça e Salvação | Igreja e Comunhão | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 133:1; Hebreus 10:25,https://www.youtube.com/watch?v=qY07MGsAkZ0,"Salmo 16:8, 9",A Doutrina da Salvação,A Experiência da Salvação,Judson Van DeVenter,Winfield S. Weeden
173,Que Prazer é Ser de Cristo,Palavra de Deus e Lei | Sacrifício e Redenção,Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=1AaW6xXABWM,João 6:47,A Doutrina da Salvação,Crescimento em Cristo,Louisa M. R. Stead,William J. Kirkpatrick
174,Que Consolo e Paz!,"Graça e Salvação | Paz, Cuidado e Confiança | Sábado e Criação",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=AbkpBk1b3Rc,N/A,A Doutrina da Salvação,Crescimento em Cristo,Elisha A. Hoffman,Anthony J. Showalter
175,"De Ti Careço, ó Deus",Graça e Salvação | Palavra de Deus e Lei,Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=7SuzQVHTvb8,"Salmo 42:1, 2",A Doutrina da Salvação,Crescimento em Cristo,Annie Sherwood Hawks,Robert Lowry
176,Nunca Desanimes,Lar e Família | Sacrifício e Redenção,Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=UM42XBG0EoY,Salmo 37:1-5,A Doutrina da Salvação,Crescimento em Cristo,Norman MacLeod,Arthur S. Sullivan
177,"Conduze-me, Meu Mestre","Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=fwvoO_TPhwY,Isaías 58:11,A Doutrina da Salvação,Crescimento em Cristo,Julie Katharina von Hausmann,Friedrich Silcher
178,Deus Cuidará de Ti,Graça e Salvação | Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=WHCMQjeWqVs,Salmo 40:17,A Doutrina da Salvação,Crescimento em Cristo,Civilla D. Martin,W. Stillman Martin
179,Eu Sei em Quem Eu Creio,Graça e Salvação | Lar e Família | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=tA4BbhaEKeA,2 Timóteo 1:12,A Doutrina da Salvação,Crescimento em Cristo,Daniel W. Whittle,James McGranahan
180,Nunca te Deixarei,Graça e Salvação | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22,https://www.youtube.com/watch?v=WBXKUyPkNqo,Isaías 41:10,A Doutrina da Salvação,Crescimento em Cristo,Nathaniel Niles,Philip P. Bliss
181,Cuidará de Mim Também,"Espírito Santo | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | João 14:16-17; Atos 2:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=Ti-3MEfiTHQ,Mateus 6:26,A Doutrina da Salvação,Crescimento em Cristo,Civilla D. Martin,Charles H. Gabriel
182,Eu Pertenço ao Meu Rei,"Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Oração e Comunhão | Palavra de Deus e Lei | Paz, Cuidado e Confiança | Sábado e Criação",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 19:14; Provérbios 22:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=ubclOJpcEgc,"1 Coríntios 6:19, 20",A Doutrina da Salvação,Crescimento em Cristo,Ida L. Reed,Maurice A. Clifton
183,"Oh, Não temas, Sou Contigo",Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6,https://www.youtube.com/watch?v=1JIetpF0Ihk,Isaías 41:10,A Doutrina da Salvação,Crescimento em Cristo,Emily Divine Wilson,Emily Divine Wilson
184,Quero Ter Jesus Comigo,"Graça e Salvação | Missão e Serviço | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=z3FtUwqdEU4,Romanos 8:35-39,A Doutrina da Salvação,Crescimento em Cristo,Fanny J. Crosby,John R. Sweney
185,Cada Momento,"Graça e Salvação | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=RvM8AvWDnSQ,Salmo 68:19,A Doutrina da Salvação,Crescimento em Cristo,Daniel W. Whittle,Mary Whittle Moody
186,"Ó Mestre, o Mar se Revolta","Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=Qqp1ZZi1wSw,Mateus 8:23-27,A Doutrina da Salvação,Crescimento em Cristo,Mary Ann Baker,Horatio Richmond Palmer
187,Refúgio em Temporal,"Paz, Cuidado e Confiança",Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=485b67iCENY,"Salmo 46:1, 2",A Doutrina da Salvação,Crescimento em Cristo,Vernon J. Charlesworth,Franklin E. Belden
188,Minha Esperança,Graça e Salvação | Sacrifício e Redenção | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22,https://www.youtube.com/watch?v=cRUWUT-jwYc,Salmo 37:5,A Doutrina da Salvação,Crescimento em Cristo,Edward Mote,William B. Bradbury
189,"Deus Sabe, Deus Ouve, Deus Vê",Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6,https://www.youtube.com/watch?v=EHbbpkoLJ5U,"Êxodo 3:7, 8",A Doutrina da Salvação,Crescimento em Cristo,Valdecir Simões Lima,Flavio Almeida Santos
190,Pertenço a Cristo,"Adoração e Louvor | Lar e Família | Paz, Cuidado e Confiança",Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=NxdttzyFf2o,"Filipenses 3:7, 8",A Doutrina da Salvação,Crescimento em Cristo,James Rowe,Bentley D. Ackley
191,Olha com Fé Para Cima,"Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=TZnLhvVG68Y,Salmo 121,A Doutrina da Salvação,Crescimento em Cristo,Jessie B. Pounds,John Sylvester Fearis
192,Brilho Celeste,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=HUY6sJkScBQ,"Salmo 34:4, 5",A Doutrina da Salvação,Crescimento em Cristo,Henry J. Zelley,George Harrison Cook
193,Sob Suas Asas,"Crianças e Jovens | Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=pheGcnEq8p8,Salmo 91:1-4,A Doutrina da Salvação,Crescimento em Cristo,William O. Cushing,Ira D. Sankey
194,Tem Fé em Deus,"Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=UabnP6pgbTc,Marcos 11:22,A Doutrina da Salvação,Crescimento em Cristo,Desconhecido,H. L. Graham
195,Minha Fé bem Segura Está,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=A4izEhw2FLE,1 João 5:4,A Doutrina da Salvação,Crescimento em Cristo,Priscilla J. Owens,William J. Kirkpatrick
196,Ao Jesus me Tomar a Mão,Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6,https://www.youtube.com/watch?v=Dsy2ouhHzIs,"Isaías 41:13, 14",A Doutrina da Salvação,Crescimento em Cristo,Jessie B. Pounds,Henry P. Morton
197,Sou Feliz Com Jesus,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; Salmos 46:1,https://www.youtube.com/watch?v=Xmna0YjSQ-s,João 14:27,A Doutrina da Salvação,Crescimento em Cristo,Horatio G. Spafford,Philip P. Bliss
198,Deus Vos Guarde,Adoração e Louvor | Graça e Salvação | Missão e Serviço,Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=J0dZy3WKJCc,Números 6:24-26,A Doutrina da Salvação,Crescimento em Cristo,Jeremiah Eames Rankin,William Gould Tomer
199,Ao Passares pelas Águas,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6,https://www.youtube.com/watch?v=V6AW8M1Jg-0,"Isaías 43:1, 2",A Doutrina da Salvação,Crescimento em Cristo,Donald J. Wyrtzen,Donald J. Wyrtzen
200,Nunca Me Deixar,"Paz, Cuidado e Confiança",Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=V37Xhq3pVj8,"Isaías 41:13, 14",A Doutrina da Salvação,Crescimento em Cristo,Ludie Carrington Day Pickett,Desconhecido
201,Dia a Dia,"Crianças e Jovens | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=kUuN3BnJnaI,Salmo 68:19,A Doutrina da Salvação,Crescimento em Cristo,Carolina Vilhelmina Sandell-Berg,Oscar Ahnfelt
202,Não Ando Só,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=kQWEGODrfKc,Isaías 41:10,A Doutrina da Salvação,Crescimento em Cristo,Alfred H. Ackley,Waldemar Orlando Wensell
203,Abrigo na Rocha,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=TqplFQwwgGM,"Salmo 31:2, 3",A Doutrina da Salvação,Crescimento em Cristo,Fanny J. Crosby,William J. Kirkpatrick
204,Meu Divino Protetor,Crianças e Jovens | Graça e Salvação | Lar e Família | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6,https://www.youtube.com/watch?v=llDMZ7vVsQU,Salmo 46:1-3,A Doutrina da Salvação,Crescimento em Cristo,Charles Wesley,Simeon B. Marsh
205,Ergo Os Meus Olhos,Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3,https://www.youtube.com/watch?v=x097Y9HQpL4,Salmo 121,A Doutrina da Salvação,Crescimento em Cristo,Auguste Decoppet,Desconhecido
